,Time,Theta1,Theta2,Omega1,Omega2,Theta1_dot,Theta2_dot,Omega1_dot,Omega2_dot
9197,4.5985000000000005,2.2496980213318305,26.347395506460604,5.667357781297031,-16.646446202786304,5.667357781297031,-16.646446202786304,-69.48867961772804,133.36875911176216
9198,4.599,2.2525236697133995,26.339087998389058,5.632724409575591,-16.58007351401058,5.632724409575591,-16.58007351401058,-68.73964123084632,131.58047458058078
9199,4.5995,2.2553321159174304,26.33081342289316,5.598455432995667,-16.51457582563678,5.598455432995667,-16.51457582563678,-67.99387379276492,129.80574463230286
9200,4.6000000000000005,2.258123533874139,26.322571355147755,5.564550575246855,-16.44994890547988,5.564550575246855,-16.44994890547988,-67.25189456890931,128.045319858718
9201,4.6005,2.2608980970163444,26.314361372965553,5.531009365018839,-16.38618824412149,5.531009365018839,-16.38618824412149,-66.51417764108724,126.2998719855713
9202,4.601,2.2636559782795036,26.30618305679707,5.497831136001032,-16.323289054909175,5.497831136001032,-16.323289054909175,-65.78115631682263,124.56999872102183
9203,4.6015,2.2663973501016885,26.298035989730668,5.465015026882821,-16.261246273956896,5.465015026882821,-16.261246273956896,-65.05322542129095,122.85622836753926
9204,4.602,2.269122384423598,26.28991975749253,5.432559981353441,-16.20005456014481,5.432559981353441,-16.20005456014481,-64.33074347593275,121.1590242055695
9205,4.6025,2.271831252688537,26.281833948446724,5.400464748102215,-16.139708295119693,5.400464748102215,-16.139708295119693,-63.61403476789827,119.47878865747747
9206,4.603,2.2745241258424453,26.27377815359511,5.368727880818201,-16.080201583294286,5.368727880818201,-16.080201583294286,-62.90339131445827,117.81586724020413
9207,4.6035,2.277201174333885,26.26575196657738,5.33734773819037,-16.02152825184763,5.33734773819037,-16.02152825184763,-62.19907472654111,116.17055231517043
9208,4.604,2.279862568114023,26.257754983671113,5.306322483907769,-15.96368185072538,5.306322483907769,-15.96368185072538,-61.50131797549216,114.54308664378375
9209,4.6045,2.2825084766366635,26.24978680379168,5.27565008665919,-15.906655652639154,5.27565008665919,-15.906655652639154,-60.81032706709332,112.93366675680655
9210,4.605,2.2851390688582303,26.241847028492284,5.245328320133336,-15.850442653066887,5.245328320133336,-15.850442653066887,-60.12628262684816,111.34244614577548
9211,4.6055,2.2877545132377555,26.233935261964017,5.215354763018983,-15.795035570253098,5.215354763018983,-15.795035570253098,-59.44934140042171,109.76953828441262
9212,4.606,2.2903549777369046,26.22605111103576,5.185726799004655,-15.740426845208306,5.185726799004655,-15.740426845208306,-58.7796376730332,108.2150194877783
9213,4.6065000000000005,2.2929406298199653,26.218194185174227,5.156441616778789,-15.686608641709325,5.156441616778789,-15.686608641709325,-58.11728461153161,106.67893161679332
9214,4.607,2.2955116364538317,26.210364096484017,5.127496210029887,-15.63357284629955,5.127496210029887,-15.63357284629955,-57.46237553274703,105.16128463544673
9215,4.6075,2.2980681641080336,26.202560459707524,5.098887377446207,-15.581311068288384,5.098887377446207,-15.581311068288384,-56.81498510159783,103.66205902778859
9216,4.6080000000000005,2.3006103787547216,26.194782892224975,5.070611722715918,-15.52981463975153,5.070611722715918,-15.52981463975153,-56.17517046235306,102.18120808164086
9217,4.6085,2.303138445868653,26.18703101405448,5.04266565452725,-15.479074615531257,5.04266565452725,-15.479074615531257,-55.54297230629999,100.71866004563866
9218,4.609,2.3056525304272197,26.17930444785194,5.015045386568193,-15.429081773235852,5.015045386568193,-15.429081773235852,-54.91841587895071,99.27432016597753
9219,4.6095,2.308152796910431,26.171602818911108,4.9877469375266985,-15.379826613239995,4.9877469375266985,-15.379826613239995,-54.301511929834845,97.84807260907321
9220,4.61,2.3106394093009213,26.163925755163568,4.960766131090579,-15.331299358684564,4.960766131090579,-15.331299358684564,-53.69225760777046,96.43978227599565
9221,4.6105,2.313112531083933,26.15627288717877,4.934098595947701,-15.283489955477002,4.934098595947701,-15.283489955477002,-53.09063730441669,95.0492965143798
9222,4.611,2.3155723252473415,26.148643848163964,4.907739765785699,-15.236388072290772,4.907739765785699,-15.236388072290772,-52.49662344877291,93.67644673320662
9223,4.6115,2.318018954281645,26.141038273964238,4.88168487929212,-15.189983100565652,4.88168487929212,-15.189983100565652,-51.91017725520893,92.321049925694
9224,4.612,2.320452580179948,26.133455803062564,4.855928980154556,-15.144264154507947,4.855928980154556,-15.144264154507947,-51.33124942747392,90.98291010525035
9225,4.6125,2.322873364437991,26.1258960765797,4.830466917060376,-15.099220071090016,4.830466917060376,-15.099220071090016,-50.759780821025146,89.66181965920971
9226,4.613,2.3252814680541327,26.118358738274242,4.8052933436968575,-15.054839410050516,4.8052933436968575,-15.054839410050516,-50.19570306594147,88.35756062492642
9227,4.6135,2.327677051529343,26.110843434542673,4.780402718751322,-15.011110453894634,4.780402718751322,-15.011110453894634,-49.63893915255733,87.06990589252541
9228,4.614,2.3300602748672232,26.103349814419264,4.755789305910872,-14.96802120789361,4.755789305910872,-14.96802120789361,-49.089403981855014,85.79862033840077
9229,4.6145000000000005,2.3324312975739976,26.095877529576125,4.731447173862515,-14.925559400084989,4.731447173862515,-14.925559400084989,-48.54700488258967,84.54346189342522
9230,4.615,2.334790278658497,26.08842623432324,4.707370196293304,-14.88371248127283,4.707370196293304,-14.88371248127283,-48.01164209699844,83.30418254957694
9231,4.6155,2.3371373766321875,26.0809955856084,4.68355205189007,-14.842467625027266,4.68355205189007,-14.842467625027266,-47.483209236862514,82.08052930850879
9232,4.616,2.339472749509151,26.07358524301723,4.6599862243395975,-14.801811727684793,4.6599862243395975,-14.801811727684793,-46.96159371163153,80.87224507546759
9233,4.6165,2.3417965548060944,26.066194868773195,4.636666002328543,-14.761731408348137,4.636666002328543,-14.761731408348137,-46.44667713020749,79.67906950173378
