,Theta1,Theta2,Omega1,Omega2,x1_true,y1_true,x2_true,y2_true,Theta1_pred,Theta2_pred,Omega1_pred,Omega2_pred,x1_pred,y1_pred,x2_pred,y2_pred
113,2.6834803,83.90378,-9.112769,28.851023,0.11794965,0.23920028,0.33001107,0.4009372,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
114,3.8064137,23.37485,11.074121,-6.7681,-0.1645321,0.20990017,-0.4265778,0.25950795,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
115,4.171134,23.076328,11.804591,-11.325854,-0.22857864,0.13740703,-0.46444476,0.26189026,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
116,3.0701203,23.552713,6.698728,-15.248713,0.019045442,0.2660191,-0.2476432,0.2684811,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
117,3.0911667,13.818147,-10.157056,-1.2379074,0.013442894,0.266361,0.26668608,0.18271416,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
118,2.9338222,23.498304,3.3841524,20.340975,0.055014573,0.26096416,-0.21114552,0.27792564,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
119,4.727326,17.24572,-4.4634786,9.468408,-0.26667023,-0.003983533,-0.5332247,0.0048265476,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
120,3.2680807,30.637558,-9.371584,-0.6268703,-0.033644482,0.26456934,-0.22089952,0.07466295,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
121,4.7511315,17.19396,-4.224457,9.411034,-0.26649985,-0.010330055,-0.53224146,0.01225885,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
122,1.5315924,9.890095,1.4728321,-10.519537,0.26649508,-0.0104530165,0.1468252,0.2278913,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
123,3.0731966,21.896502,-7.450797,30.254747,0.018226994,0.26607642,0.043431688,0.5315827,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
124,2.518545,25.442278,3.2550979,-12.9200735,0.1556229,0.21658808,0.23686434,-0.037436962,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
125,2.0630732,13.435111,-1.8058565,12.008548,0.23503178,0.12605137,0.43866152,-0.046180487,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
126,3.229304,24.434265,8.533397,19.081427,-0.023362653,0.26567474,-0.19486445,0.061429724,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
127,4.706514,9.305459,1.5369045,13.934221,-0.26669538,0.0015668797,-0.23494847,0.26637062,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
128,2.4521897,22.114574,1.7960272,20.161158,0.16964164,0.20579262,0.13680749,0.47046375,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
129,2.6908903,36.279175,-1.9094765,18.714258,0.116173945,0.2400677,-0.14749694,0.19998598,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
130,3.8358965,21.950674,10.064233,-22.08843,-0.17064814,0.20495878,-0.15985653,0.47144037,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
131,2.4462545,22.03266,1.1726882,20.79559,0.17086007,0.20478214,0.15979227,0.47125238,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
132,2.177992,8.517399,11.16379,-18.126917,0.2190277,0.15217015,0.42915863,0.31640744,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
